datetime,junk,humidity,temp0C,temp1C,temp0F,temp1F
2021-05-02 12:57:20,177 [INFO]: 3C:22:05:D3:87:25:0.1,45.000000,22.000000,24.375000,71.599998,75.875000
2021-05-02 12:59:49,517 [INFO]: 3C:22:05:D3:87:25:0.1,39.000000,24.200001,23.250000,75.559998,73.849998
2021-05-02 13:04:50,972 [INFO]: 3C:22:05:D3:87:25:0.1,37.000000,24.299999,16.000000,75.739998,60.799999
2021-05-02 13:09:52,450 [INFO]: 3C:22:05:D3:87:25:0.1,57.000000,17.100000,16.250000,62.779999,61.250000
2021-05-02 13:14:53,893 [INFO]: 3C:22:05:D3:87:25:0.1,62.000000,16.000000,16.312500,60.799999,61.362499
2021-05-02 13:19:55,356 [INFO]: 3C:22:05:D3:87:25:0.1,60.000000,16.299999,16.625000,61.340000,61.924999
2021-05-02 13:24:56,823 [INFO]: 3C:22:05:D3:87:25:0.1,55.000000,16.700001,16.750000,62.060001,62.150002
2021-05-02 13:29:58,290 [INFO]: 3C:22:05:D3:87:25:0.1,47.000000,17.299999,16.437500,63.139999,61.587502
2021-05-02 13:34:59,753 [INFO]: 3C:22:05:D3:87:25:0.1,51.000000,16.799999,16.625000,62.239998,61.924999
